strength machine
43.6 O
78.4 O
62.1 O
65.1 O
69.2 O
79.5 O
80.7 O
59.2 O
47.2 O
65.9 O
49.2 O
71.3 O
62.9 O
62.3 O
58.1 O
63 O
63.4 O
71.6 O
74 O
64.3 O
65.8 O
61.7 O
47.9 O
59.5 O
81.5 O
53.9 O
74.8 O
75.3 O
82.8 O
79.8 O
61.4 O
66.3 O
53.7 O
59.8 O
89.8 O
70.8 O
55.4 O
66.1 O
60.6 O
52.7 O
73.2 O
50.8 O
58.2 O
63.4 O
59.7 O
55.6 O
66.2 O
60.6 O
67.4 O
46.7 O
78.2 N
84.2 N
75 N
91.5 N
67.4 N
81.4 N
60.3 N
81.7 N
65.1 N
75.9 N
66.7 N
67.2 N
64 N
56.9 N
57.6 N
83.3 N
61.3 N
61.9 N
86.8 N
80 N
71.8 N
78.2 N
73.8 N
69.3 N
80.7 N
73.9 N
61.3 N
82.6 N
57.4 N
78.5 N
57.6 N
82.4 N
79.1 N
69.1 N
82.2 N
70.3 N
74.1 N
54.5 N
66.6 N
77.6 N
68.1 N
59.9 N
77.3 N
77.3 N
80.7 N
66 N
82.7 N
62 N
67 N
70.2 N
