id gender workhour drivelic travel
1001 F 10 Y Y       
1002 M 10 Y N       
1003 F 0 N N       
1004 F 20.5 Y Y       
1005 M 0 Y N       
1006 F 9 N Y       
1007 F 0 Y N       
1008 F 12.5 N N       
1009 F 0 Y Y       
1010 M 0 N Y       
1011 F 0 Y N
1012 M 0 N Y       
1013 M 0 N Y       
1014 F 0 N Y       
1015 M 0 N Y       
1016 F 10 Y Y       
1017 M 60 Y Y       
1018 M 22.5 Y Y       
1019 F 0 N Y       
1020 M 0 Y Y       
1021 M 0 Y Y       
1022 M 10 Y N       
1023 F 10 N N       
1024 F 0 Y Y       
1025 F 15 Y Y       
1026 F 15 N Y       
1027 M 22 Y Y       
1028 M 30 Y N       
1029 M 0 Y Y       
1030 F 0 N N       
1031 M 0 N N       
1032 F 7 Y Y       
1033 M 0 Y Y       
1034 M 0 N Y       
1035 M 12 Y Y       
1036 F 0 Y Y       
1037 F 4 N Y       
1038 F 0 Y Y       
1039 M 16 Y Y       
1040 F 0 Y Y       
1041 M 0 Y Y       
1042 M 15 Y Y       
1043 F 15 Y Y       
1044 M 0 Y Y       
1045 M 35 Y Y       
1046 F 2.5 Y N       
1047 M 40 Y N       
1048 F 7 N Y       
1049 F 0 Y Y       
1050 F 25 Y Y       
1051 M 30 Y N       
1052 F 10 Y Y       
1053 F 7 N Y       
1054 M 0 N Y       
1055 M 15 Y Y       
1056 F 0 Y Y       
1057 M 0 Y N       
1058 M 0 N Y       
1059 F 45 Y Y       
1060 F 15 Y Y       
1061 M 0 N Y       
1062 M 0 Y N       
1063 F 16 N N       
1064 F 15 Y Y       
1065 F 0 Y Y       
1066 F 7 N Y       
1067 M 0 N Y       
1068 M 14 Y Y       
1069 F 0 N Y       
1070 F 0 N Y       
1071 F 0 N Y       
1072 F 5 N Y       
1073 F 25 N Y       
1074 F 0 N Y       
1075 M 0 N Y       
1076 M 32 Y Y       
1077 F 15 Y N       
1078 M 15 Y N       
1079 M 8 N Y       
1080 M 21 Y Y       
1081 M 20 Y Y       
1082 F 20 Y Y       
1083 M 0 Y Y       
1084 F 20 Y Y       
1085 F 0 Y N       
1086 F 0 Y Y       
1087 F 6 N Y       
1088 F 0 Y Y       
1089 M 0 Y Y       
1090 M 0 Y Y       
1091 M 0 Y Y       
1092 M 0 Y Y       
1093 F 10 N Y       
1094 M 0 Y Y       
1095 M 10 N N       
1096 M 0 Y Y       
1097 M 0 N N       
1098 F 0 Y Y       
1099 M 3 N N       
1100 F 5 Y Y       
1101 M 0 N Y       
1102 F 8 N Y       
1103 F 24 Y Y       
1104 M 10 N N       
1105 F 20 Y Y       
1106 F 0 Y Y       
1107 M 40 Y Y       
1108 F 5 N Y       
1109 M 0 Y Y       
1110 F 0 Y Y       
1111 F 8 N N       
1112 F 15 Y Y       
1113 M 11 N N       
1114 M 25 Y N       
1115 F 27.5 Y Y       
1116 M 20 Y Y       
1117 F 30 Y Y       
1118 M 12.5 Y Y       
1119 M 0 N Y       
1120 M 20 Y Y       
1121 M 0 Y Y       
1122 M 0 N Y       
1123 M 4 N Y       
1124 F 18 N N       
1125 F 11 Y Y       
1126 F 5 N Y       
1127 M 20 Y N       
1128 M 0 Y Y       
1129 M 12 Y Y       
1130 M 0 Y Y       
1131 M 16 Y N       
1132 F 0 Y Y       
1133 M 0 Y Y       
1134 M 0 N Y       
1135 M 40 Y Y       
1136 F 12.5 N Y       
1137 F 30 Y Y       
1138 F 20 Y Y       
1139 M 17.5 Y Y       
1140 M 15 Y Y       
1141 F 27.5 Y N       
1142 M 5 N Y       
1143 M 0 Y N       
1144 F 15 Y Y       
1145 M 20 Y Y       
1146 M 6 N Y       
1147 F 20 N Y       
1148 F 30 Y Y       
1149 M 0 N Y       
1150 M 15 Y N       
1151 F 25 Y N       
1152 F 0 Y Y       
1153 M 10 N N       
1154 F 20 Y Y       
1155 F 0 N Y       
1156 M 0 Y N       
1157 M 0 Y Y       
1158 M 0 Y Y       
1159 M 0 Y Y       
1160 F 12 Y N       
1161 M 6 Y Y       
1162 M 0 N Y       
1163 M 8 N N       
1164 M 15 N Y       
1165 M 0 Y Y       
1166 M 0 Y Y       
1167 M 0 Y Y       
1168 M 10 Y Y       
1169 M 5 Y N       
1170 F 0 Y N       
1171 M 0 N N       
1172 M 0 N Y       
1173 M 0 N Y       
1174 M 0 Y Y       
1175 F 6 Y N       
1176 M 6 Y Y       
1177 M 0 Y Y       
1178 M 20 Y Y       
1179 M 0 Y Y       
1180 M 0 N Y       
1181 F 0 Y N       
1182 M 0 Y N       
1183 F 0 Y N       
1184 F 0 Y Y       
1185 M 0 N Y       
1186 F 0 Y Y       
1187 F 10 Y N       
1188 M 0 N Y       
1189 M 0 N Y       
1190 M 0 Y Y       
1191 F 25 Y Y       
1192 M 0 Y Y       
1193 M 0 N N       
1194 M 2 Y Y       
1195 M 0 Y Y       
1196 M 10 N Y       
1197 F 8 N Y       
1198 M 0 Y Y       
1199 F 10 Y Y       
1200 F 6 N Y       
1201 F 0 N Y       
1202 M 6 N Y       
1203 M 15 N Y       
1204 M 10 Y Y       
1205 M 0 N Y       
1206 F 8 N N       
1207 M 0 N Y       
1208 M 0 Y N       
1209 M 12 Y N       
1210 F 17.5 Y N       
1211 M 0 Y Y       
1212 F 9 N N       
1213 F 18 Y Y       
1214 F 0 N Y       
1215 M 40 Y Y       
1216 F 9 N Y       
1217 M 6 Y N       
1218 F 12.5 Y Y       
1219 M 12.5 Y Y       
