id,test
330,62
278,79
160,62
225,44
322,75
139,66
243,72
224,49
273,79
365,80
195,64
120,96
187,96
328,94
157,73
251,81
110,71
212,57
147,87
210,56
361,69
368,80
348,85
192,88
333,84
256,53
293,63
287,71
138,73
128,42
258,65
357,52
134,95
132,76
373,67
247,66
228,68
113,43
388,86
268,73
280,79
340,74
312,94
250,59
307,60
349,74
323,69
177,88
289,23
379,63
190,96
336,35
257,80
149,74
319,70
382,76
245,91
129,95
231,49
106,75
234,76
385,66
356,65
386,94
341,81
331,69
142,90
351,67
181,78
146,52
237,62
272,68
121,53
116,47
166,74
353,71
374,54
204,54
124,47
143,65
327,61
131,87
169,91
176,72
304,87
260,66
150,61
362,71
194,54
188,64
366,61
305,73
236,58
168,51
127,69
376,82
112,70
276,40
298,60
174,76
332,69
381,70
263,73
387,58
290,47
321,49
213,56
206,61
200,44
193,62
343,74
346,78
163,88
156,90
104,57
297,78
354,64
217,90
126,47
218,80
158,55
281,97
255,50
303,93
253,54
301,76
261,55
179,97
119,89
202,50
215,94
372,45
244,65
207,69
308,51
183,63
122,68
233,87
123,40
208,44
283,80
136,72
171,42
235,72
180,84
347,65
159,71
227,64
370,71
196,43
262,66
363,97
211,43
252,74
178,68
103,74
266,91
167,43
209,55
240,79
148,54
172,85
279,58
205,93
302,92
269,64
108,51
182,42
317,66
111,98
221,55
109,69
306,59
191,71
165,98
311,82
378,49
352,65
220,95
284,98
101,86
249,84
175,64
248,42
189,80
324,75
316,62
325,71
318,65
216,52
133,48
197,55
137,76
226,95
299,47
375,85
277,74
371,76
117,64
164,50
264,65
344,38
144,73
285,54
238,71
230,74
339,77
184,47
367,93
313,82
291,79
309,68
239,60
295,68
105,84
222,69
135,49
380,78
358,77
369,79
153,74
265,73
145,87
141,98
315,59
140,73
151,83
286,58
246,73
173,86
198,79
242,72
294,63
359,47
229,54
292,66
219,65
282,43
345,46
254,85
329,80
296,74
185,75
335,63
152,45
186,84
114,44
320,65
314,68
162,73
271,48
355,68
223,45
350,41
383,76
377,72
107,86
342,90
170,60
125,78
115,97
338,58
337,72
274,92
267,87
259,59
334,70
384,63
118,83
214,69
326,55
288,60
201,49
154,79
199,50
102,64
161,83
275,73
155,73
241,52
360,83
203,78
270,72
310,83
364,55
130,59
300,68
232,77
